col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,,,,,,,,,,,
-6.11,-0.76,0,0,-2965.06,-2691.65,65.14,63.75,2.72,1151.08,883.9,1384.03,-868.87,-2965.06,-2691.65,-432.53,410.07,-73.67,-1454.86,-3222.19,-1107.6,726.56
-4.24,-3.54,0,0,-4367.68,783.18,64.78,63.61,2.93,839.59,1176.4,397.47,352.38,-4367.68,783.18,-756.26,-345.04,-49.29,-3495.79,-224.42,-2815.33,-422.61
-4.08,-0.35,0,0,-3005.96,-2023.71,64.76,64.76,3.15,1144.73,110.87,1027.27,27.06,-3005.96,-2023.7,112.87,-211.21,-57.08,-1519.77,-2231.14,-721.6,102.72
-1.87,2.95,0,0,871.19,-5135.46,62.21,65.45,2.99,275.68,-437.81,168.27,-296.25,871.19,-5135.46,-918.88,519.92,-19.36,1987.53,-3026.98,-387.5,3286.83
-2.38,2.01,0,0,-132.54,-3756.42,62.96,66.64,3.2,290.5,108.44,1224.95,598.06,-132.54,-3756.44,-1070.84,633.51,-6.23,487.48,-2174.29,-1759.79,3485
-3.69,-3.64,0,0,-4431.97,783.57,64.86,64.14,3.69,513.99,642.7,91.52,208.68,-4431.97,783.56,-856.9,-309.58,-49.74,-3561.51,-943.67,-2296.32,-1284.86
-2.44,-3.26,0,0,-3137.28,302.19,64.36,59.64,3.04,-334.06,-29.83,-646.56,28.04,-3137.28,302.19,-835.54,-5.79,-73.4,-2244.32,-958.54,-1823.83,-358.79
-4.53,-0.65,0,0,-3268.55,-483.38,67.21,67.05,2.85,855.89,-174.93,1428.6,-346.29,-3268.54,-483.36,-409.58,-342.77,-7.28,-2632.11,-1157.47,-2077.95,-597.28
-0.4,-5.97,0,0,-4217.71,2769.65,63.57,64.64,2.07,-300,-100.98,85.94,1071.63,-4217.71,2769.65,-1179.82,54.6,95.03,-3632.79,890.97,-3453.83,418.88
3.51,1.45,0,0,4325.49,1858.48,60.54,64.14,3.24,-327.02,7.33,-751.66,-547.39,4325.49,1858.46,687.36,997.07,-35.43,2653.87,938.26,1397.09,1097.76
-6.03,1.51,0,0,-2885.53,-2750.27,67.06,64,4.09,1054.28,-586.27,893.11,-930.1,-2885.52,-2750.28,-212.58,719.74,-47.31,-957.15,-3369.93,-771.12,719.72
-6.63,0.99,0,0,-3142.59,-2348.99,64.57,60.62,3.15,949.13,-488.44,1928.8,-935.32,-3142.59,-2348.99,-113.15,572.54,-46.09,-1240.25,-3230.95,-1666.43,1087.04
-6.11,1.32,0,0,-2607.22,-3141.97,66.17,63.43,2.8,407.83,337.66,2531.36,-1161.19,-2607.21,-3141.97,-1249.95,173.93,47.77,-1308.84,-1949.24,-3473.87,1626.55
-4.44,-0.46,0,0,-2476.78,-2229,65.92,65.08,3.12,-167.09,-63.26,-183.73,-339.47,-2476.78,-2229,-668.81,-148.13,-8.74,-1783.14,-1845.11,-1868.8,-175.5
4.33,3.77,0,0,5878.36,-1631.93,62.08,65.32,2.97,-344.51,-33.69,-41.16,-2237.33,5878.36,-1631.92,-1018.44,497.66,1.84,3050.14,1666.2,-706.25,2828.24
0.2,3.28,0,0,946.62,-3491.86,63.12,66,2.99,-184.29,-58.71,360.78,-875.32,946.62,-3491.87,-58.97,1392.21,27.53,2279.54,-2666.71,481.3,2601.59
-4.63,-3.27,0,0,-4593.78,164.04,65,64.25,3.69,-81.23,178.47,963.93,-139.34,-4593.78,164.04,-1026.84,-183.26,-65.3,-3415.68,-1220.23,-2883.96,-627.27
-4,-1.02,0,0,-2382.92,-1949.27,64.73,64.4,3.84,-136.04,1.47,749.75,97.94,-2382.92,-1949.27,-831.43,199.87,-53.55,-657.87,-1787.84,-1461.97,1150.2
-0.5,-5.99,0,0,-4120.73,2829.49,61.29,65.71,2.07,-339.15,-33.38,307.14,1501.68,-4120.73,2829.49,-1291.65,159.77,160.95,-3574.16,885.37,-3676.23,848.96
-6.08,1.43,0,0,-2122.39,-3285.61,65.29,65.67,3.31,-328.48,-39.83,1110.41,-1505.17,-2122.39,-3285.61,-48.53,205.24,-1.02,-1090.73,-3000.35,-1264.43,696
-4.84,-1,0,0,-3451.15,-1158.78,64.31,68.75,3.98,241.73,-213.59,709.72,-706.83,-3451.15,-1158.78,-893.3,-266.27,-63.8,-2826.28,-1312.37,-1953.25,-1490.06
-5.32,1.76,0,0,-1450.91,-3898.52,63.63,65.13,2.78,37.32,-162.11,525.16,-1415.44,-1450.9,-3898.52,-904.26,-121.45,-14.06,-1360.35,-2159.8,-2290.53,-637.56
-5.03,1.2,0,0,-1009.22,-4494.96,64.92,63.12,3.24,852.34,438.9,521.33,762.77,-1009.21,-4494.98,-146.25,-220.41,-50.76,830.14,-3851.72,882.56,1582.33
-3.07,-0.82,0,0,-2655.47,-2145.84,67.52,65.05,3.15,1190.14,1186.44,453.94,-685.66,-2655.47,-2145.85,-275.7,-699.75,-44.14,-1806.7,-1847.39,-1202.94,-1458.03
-2.78,-2.21,0,0,-3258.35,-546.93,68.24,61.33,2.72,-45.24,118.18,424.66,-839.62,-3258.35,-546.93,-935.81,-242.43,81.8,-2535.27,-987.33,-2362.72,-738.99
-1.46,-5.57,0,0,-4049.84,2751.85,64.86,64.21,2.07,-339.15,-33.38,-145.26,957.36,-4049.84,2751.86,-1235.74,133.61,157.5,-3463.05,1003.75,-3527.79,755.58
-5.65,-1.29,0,0,-3822.89,-174.88,65,64.87,3.54,249.31,269.4,-89.06,-186.81,-3822.89,-174.89,-514.36,-718.62,-76.53,-3210.22,-524.44,-2241.11,-1140.6
0.22,-2.16,0,0,-2965.45,903.89,65,65.19,3.15,117.08,559.29,138.03,185.75,-2965.45,903.89,-974.46,-73.51,-38.65,-2486.93,466.99,-1994.37,-972.36
-0.28,2.95,0,0,5102.37,1424.79,62.31,60.1,3.27,-329.09,-48.2,-698.75,-592.21,5102.37,1424.79,-844.72,231.3,55.07,1591.22,3649.45,121.1,7.32
-3.56,-2.27,0,0,-2895.53,-1644.18,64.67,65.9,2.93,-227.44,-22.25,1088.31,-1353.33,-2895.54,-1644.18,-1019.42,120.56,27.76,-1638.78,-1883.01,-2429.29,197.29
-4.26,-2.22,0,0,-4180.91,36.75,64.73,65.33,4.15,95.34,65.23,1560.42,-241.34,-4180.91,36.75,-866.68,-270.9,-81.8,-3349.5,-887.76,-2772.73,-1030.14
-1.33,-2.05,0,0,-2659.06,539.06,59.79,61.79,2.85,-164.73,-184.83,-825.19,-208.24,-2659.05,539.06,-849.81,-139.54,46.36,-2728.41,14.33,-2389.17,-886.41
-0.65,-6.38,0,0,-4366.78,2978.64,62.55,65.82,2.24,-339.15,-33.38,724.52,2165.93,-4366.78,2978.64,-1288.06,170.5,171.01,-3813.11,1118.02,-3692.87,865.76
-5.81,-1.61,0,0,-3737.57,-759.16,65.23,64,3.07,-305.53,-33.23,738.31,-41.13,-3737.57,-759.15,-852.89,194.57,-43.19,-2134.87,-1700.38,-1923.47,540.27
-5.67,2.03,0,0,-1685.45,-3629.63,65.54,64.64,2.55,-204.52,31.35,962.8,-851.06,-1685.45,-3629.65,-516.94,1263.83,24.58,297.12,-3776.62,-927.38,2914.37
-1.53,-5.18,0,0,-4051.67,2593.15,65.15,65.92,2.12,-339.15,-33.38,1250.76,2269.82,-4051.66,2593.16,-1308.04,196.69,172.09,-3381.52,1021.94,-3856.43,1668.49
-1.03,-5.68,0,0,-4265.59,2845.43,63.29,64.59,1.95,-339.15,-33.38,1976.94,3191.87,-4265.59,2845.43,-1308.04,196.69,190.93,-3839.94,1151.13,-3856.43,1668.49
-3.42,-1.34,0,0,-3167.8,-2376.95,65.06,63.53,4.36,3.78,-0.64,1282.44,-280.1,-3167.8,-2376.94,-883.88,106.33,-31.47,-1307.21,-2438.7,-1580,573.89
-5.94,-0.59,0,0,-3495.27,-1473.9,64.27,63.87,4.45,-194.65,-5.55,-497.75,-111.52,-3495.27,-1473.9,-409.95,-561.04,-50.47,-2699.94,-1748.58,-1532.79,-1255.11
-3.59,-1.54,0,0,-2590.13,-2104.97,63.95,63.9,3.15,-253.96,-52.18,940.97,-941.75,-2590.13,-2104.97,-915.55,456.84,-28.75,-970.04,-2402.93,-2563.94,1517.21
-2.25,-2.93,0,0,-3194.94,454.44,63.37,62.11,2.61,-202.43,-75.45,-214.37,253.57,-3194.94,454.45,-855.44,-30.16,48.78,-2351.74,-886.65,-2330.3,463.27
-5.3,0.64,0,0,-1814.4,-3316.67,67.7,62.22,2.6,-39.34,-172.76,1414.95,-1444.07,-1814.4,-3316.68,-757.58,726.83,-7.1,285.77,-3615.14,-1534.47,2059.16
3.01,3.57,0,0,4513.89,-110.78,69.29,67.68,3.18,-393.32,17.55,22.55,-1845.56,4513.89,-110.78,-1063.85,169.39,56.21,2132.12,2115.62,-1451.7,1154.9
-4.18,-3.62,0,0,-4544.11,273.23,65.31,64.38,3.69,182.95,585.12,1390.32,-112.12,-4544.11,273.22,-1007.58,-207.15,-64.07,-3554.15,-877.35,-3013.83,-480.81
-3.53,0.88,0,0,-911,-3797.56,63.63,64.58,3.81,139.84,-416.26,307.92,-573.16,-911,-3797.56,-977.25,236.07,-14.63,42.72,-2320.68,-1077.58,1939.14
-6.64,0.76,0,0,-3491.09,-2877.31,64.88,65.12,2.87,1808.84,-849.64,2377.01,-1508.8,-3491.09,-2877.31,-864.67,348.58,37.9,-1905.1,-2947.89,-2023.31,763.95
-5.16,-1.09,0,0,-3970.93,-944.74,63.69,64.94,3.69,-23.11,-184.53,1325.91,-226.33,-3970.93,-944.73,-994.19,70.98,-59.72,-2806.57,-1508.47,-2412.37,-585.2
-3.78,0.66,0,0,-1276.13,-2090.1,61.61,64.21,2.55,-241.11,18.5,400.25,-905.06,-1276.12,-2090.11,-265.84,-299.79,13.97,-800.66,-1591.9,-805.37,-612.71
-1.21,-5.36,0,0,-3893.97,2289.54,64.46,63.92,2.12,-339.15,-33.38,-111.07,332.64,-3893.97,2289.54,-1044.44,-92.61,150.73,-3330.38,412.22,-3409.24,498.59
-5.98,1.42,0,0,-1806.29,-3142.91,65.96,63.4,3.05,-327.68,-110.61,995.76,-1541.57,-1806.29,-3142.91,-999.07,93.12,-44.3,-694.95,-1883.6,-2082.51,1256.78
-2.75,1.63,0,0,-489,-1702.76,64.81,67.33,2.93,-179.41,-142.47,-514.43,-616.37,-489,-1702.76,-376.97,-169,-48.39,-737.75,-190.59,-466.29,-1147.75
